Service type label,Programme ,Event title ,Event description ,Site name,Month,Date and time,Audience / Type,Ticket price,Booking information
Museum Events and Exhibitions,May Half Term ,,,Abbey House Museum,May,Wednesday 29 May 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,May Half Term ,Queen Victoria mystery; who stole the Queen s Knickers!? ,"Someone has stolen the Queen s pants of Mrs Scrubbits washing line, can you solve the clues and crack the case!? ",Abbey House Museum,May,Thursday 30 May 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,May Half Term ,Queen Victoria crafts ,celebrate Queen Victoria s 200th birthday with fun crafts and Queen Victoria trail in our Victorian Streets! ,Abbey House Museum,May,Friday 31 May 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,under 5 s ,Little Shoppers ,"A fun drop in session for under 5 s in the Victorian Streets. Join us for fun with a range of play shops and tents, fake food, post box plus a trail, stickers and craft every week. ",Abbey House Museum,jun,every Friday in term time 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Danger Zone Adult talks , Hazards Of the Victorian Kitchen. ,An adult talk inspired by our new exhibition Danger Zone with Dr Jack Gann  from Leeds Trinity University ,Abbey House Museum,Jun,Wednesday 5 June 2.45pm ,Adult (eg study day),£5.50 incl refreshments ,Booking essential 
Museum Events and Exhibitions,Danger Zone Adult talks ,‘A Series of Unfortunate Incidents?  Industrial Accidents in Leeds.,"The Oxford English Dictionary definition of an accident is ‘an unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury’. Leeds Museums & Galleries’ Curator of Industrial History take a range of industrial accidents in Leeds over the past 200 years and asks the question ‘How unexpected or avoidable were they?’",Abbey House Museum,Jun,Wednesday 12 June 2.45pm,Adult (eg study day),£5.50 incl refreshments ,Booking essential 
Museum Events and Exhibitions,Danger Zone Adult talks ,"""A most singular accident"" - Accident and inquest reporting in the nineteenth and early twentieth century Yorkshire press"". ","Local newspaper reports reveal some very unusual, and some sadly common accidents that befell the population of Leeds in the nineteenth and early twentieth centuries. Using examples from inquests and court cases this talk explores how domestic and everyday dangers changed over time, and how attitudes changed towards risk and responsibility.",Abbey House Museum,Jun,Wednesday 19June 2.45pm,Adult (eg study day),£5.50 incl refreshments ,Booking essential 
Museum Events and Exhibitions,study day ,Building 19th Century Leeds study day,"Come learn about the changing face of Leeds in the 1800s, from humble back-to-backs, to grand public buildings and statues. Who were the architects responsible for transforming a modest Georgian town into a great Victorian City? How did the town’s buildings reflect the lives of its inhabitants? And how much of this Victorian heritage remains today? Come and explore changes to Leeds’ architectural fabric through collections not on display, including rare maps, prints, photographs, bills and letterheads.",Abbey House Museum,Jun,Thursday 27 June 11-3,Adult (eg study day),£11 incl lunch,Booking essential 
Museum Events and Exhibitions,under 5 s ,Sensory play time for children with additional needs ,"A new monthly session of sensory play in our education room for children with additional needs. There will be a theme every week with things to make, do and explore. This months theme fairy tales ",Abbey House Museum,Jun,Friday 28 June 10.15-11.15am ,Family,free ,Booking essential 
Museum Events and Exhibitions,under 5 s ,Little Shoppers ,"A fun drop in session for under 5 s in the Victorian Streets. Join us for fun with a range of play shops and tents, fake food, post box plus a trail, stickers and craft every week. ",Abbey House Museum,Jul,every Friday in term time 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Danger Zone Adult talks ,‘Remedies in the 1700s and 1800s – Help or Hazard?’,"Colin W. Wright is Professor of Pharmacognosy at the School of Pharmacy and Medical Sciences, University of Bradford.   His research interests include the investigation herbal remedies used traditionally for the treatment of malaria and cancer with a view to developing new drugs for these diseases.",Abbey House Museum,jul,Wednesday 10 July 2.45pm ,Adult (eg study day),£5.50 incl refreshments ,Booking essential 
Museum Events and Exhibitions,under 5 s ,Sensory play time for children with additional needs ,"A new monthly session of sensory play in our education room for children with additional needs. There will be a theme every week with things to make, do and explore. This months theme is summer ",Abbey House Museum,Jul,Thursday 18 July 10.15-11.15,Family,free ,Booking essential 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Insects and Bugs crafts ,Inspired by our new exhibition Danger Zone we will be making insect and bug crafts in the Victorian Streets ,Abbey House Museum,Jul,Tuesday 23 July 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Lion Learners ,Back by popular demand Lion Learners will be bringing a selection of their wonderful animals to the Victorian Street including some insects and bugs.  ,Abbey House Museum,Jul,Wednesday 24 July 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Jul,thursday 25 July 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Insects and Bugs crafts ,Inspired by our new exhibition Danger Zone we will be making insect and bug crafts in the Victorian Streets ,Abbey House Museum,jul,Friday 26 July 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Spies and crimes crafts and trail ,this week we will be looking again to our exhibition for inspiration as we look at dangerous and dastardly spies and crimes ,Abbey House Museum,jul,Tuesday 30 July 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Spies and crimes silly science,silly science activities inspired by dangerous spies and dastardly crimes. No scientific knowledge necessary only curiosity ,Abbey House Museum,jul,Wednesday 31 July 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Aug,thursday 1 August  10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Spies and crimes crafts and trail ,this week we will be looking again to our exhibition for inspiration as we look at dangerous and dastardly spies and crimes ,Abbey House Museum,Aug,Friday 2 August 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone reptiles and roars crafts and trail,fun crafts and trail inspired by reptiles and animals that roar in our collections ,Abbey House Museum,Aug,Tuesday 6 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Lion Learners ,Back by popular demand Lion Learners will be bringing a selection of their wonderful animals to the Victorian Street including some interesting reptiles.  ,Abbey House Museum,Aug,Wednesday 7 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Aug,thursday 8 August  10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone reptiles and roars crafts and trail,fun crafts and trail inspired by reptiles and animals that roar in our collections ,Abbey House Museum,Aug,Friday 9 August 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone dinosaur crafts and trail ,dangerous Dinosaur crafts and trail in our Victorian Streets. ,Abbey House Museum,Aug,Tuesday 13 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone dinosaur silly science,silly science activities inspired by dinosaurs No scientific knowledge necessary just curiosity ,Abbey House Museum,Aug,Wednesday 14 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Aug,thursday 15 August  10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone dinosaur crafts and trail ,dangerous Dinosaur crafts and trail in our Victorian Streets. ,Abbey House Museum,Aug,Friday 16 August 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone jungle crafts and trail ,inspired by our Danger Zone jungle we have a week of fun crafts and trails ,Abbey House Museum,Aug,Tuesday 20  August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Lion Learners ,Back by popular demand Lion Learners will be bringing a selection of their wonderful animals to the Victorian Street .  ,Abbey House Museum,Aug,Wednesday 21 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Aug,thursday 22 August  10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,danger zone jungle crafts and trail ,inspired by our Danger Zone jungle we have a week of fun crafts and trails ,Abbey House Museum,Aug,Friday 23 August 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Pirates crafts and Trail ,What could be more Danger Zone than a week of pirate crafts and trails to end the holidays! ,Abbey House Museum,Aug,Tuesday 27 August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Pirates silly science ,silly science activities inspired by pirates. No scientific knowledge necessary just curiosity ,Abbey House Museum,Aug,Wednesday 28  August 10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Quest ,Join us for a quest around the Victorian Streets inspired by our exhibition Danger Zone ,Abbey House Museum,Aug,thursday 29 August  10-12 & 2-4 ,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,Danger Zone Pirates crafts and Trail ,What could be more Danger Zone than a week of pirate crafts and trails to end the holidays! ,Abbey House Museum,Aug,Friday 30 August 10-12 & 2-4,Family,included in admision ,drop in 
Museum Events and Exhibitions,Summer holidays ,He She They? Teen tours ,Enjoy a tour around our brand new display He She They?  The changing face of children s fashion. Meet The Vintage Youth Club who co-curated the exhbition and take part in a creative activity. ,Abbey House Museum,Jul,Weds 31 July 12-2pm,Young People,included in admision ,Book with Angie youth.curator@leeds.gov.uk 
Museum Events and Exhibitions,Summer holidays ,He She They? Teen tours ,Enjoy a tour around our brand new display He She They?  The changing face of children s fashion. Meet The Vintage Youth Club who co-curated the exhbition and take part in a creative activity. ,Abbey House Museum,Aug,Weds 5 Aug 12-2pm,Young People,included in admision ,Book with Angie youth.curator@leeds.gov.uk 
Museum Events and Exhibitions,Easter / School Holidays,Warrior Crafts and Object Handling,Create your own shield and armour inspired by our objects from around the world and throughout time.Meet the curator and handle some of our artefacts.  For all ages. ,Leeds City Museum,Apr,"Tues 2nd April 2019, 10am - 12pm& 1- 3pm",Family,Free,drop in
Museum Events and Exhibitions,Young people/ School Holidays,Warrior demonstrations and workshops,Demonstrations and workshops suitable for young people age 11+ TBC,Leeds City Museum,Apr,"Tues 2nd April 2019, 10am - 12pm& 1- 3pm",Young people,Free,
Museum Events and Exhibitions,Easter / School Holidays,Warriors Sensory Storytime,"Join us for Sensory Story sessions about Warriors. The session is free and will be repeated at 10.30am, 11.30am, 1pm and 2pm. It lasts approximately 30 minutes.

What s the session all about? Learn about warriors from around the world with a story that involves things you can touch, hear, smell and maybe even taste!

Join us for a fun, interactive and memorable day. All ages welcome and encouraged to join in, from toddlers to 8 year olds to grandparents!
",Leeds City Museum,Apr,"Tues 9th April 2019, 10.30am, 11.30am, 1pm & 2pm",Family,Free,drop in
Museum Events and Exhibitions,Easter / School Holidays,Warriors and Weapons Trail,Pick up a free trail and explore our weird and wonderful links to weapons and armour. Enter the free prize draw.,Leeds City Museum,Apr,"Sat 30th Mar 2019 to Mon 22nd April 2019, during opening hours",Family,Free,drop in
Museum Events and Exhibitions,Easter / School Holidays,Warriors and Weapons Crafts,Create your own shield and armour inspired by our objects from around the world and throughout time. For all ages. ,Leeds City Museum,Apr,"Weds-Fri 3rd-5th & 10th-12th April, 10am-12pm & 1-3pm",Family,Free,drop in
Museum Events and Exhibitions,Adult,Keep Crafting,"Our monthly creative session for adults. Join us for a cup of tea and a craft making hour in our Learning Space.  Free, drop in. On the first Wednesday of the month in 2019",Leeds City Museum,,"First Wednesday of the month, 3-4pm. Wed 2 Jan, Wed 4 Feb, Wed 6 Mar, Wed 3 Apr",Adult,Free,drop in
Museum Events and Exhibitions,Under 5s,Rainbow Bears,Craft sessions for under 5s and their carers.,Leeds City Museum,,"Last Wednesday of the month, 10.30am-12pm
27 Feb, 27 Mar, 24 Apr, 22 May",Under 5 s,Free,drop in
Museum Events and Exhibitions,Adult,Drawing Workshop,"Join artist Alexandra Glew for a workshop responding to the Michael Morpurgo exhibition. Working with drawing and mixed media, spend time exploring the exhibition before creating your own artwork to take home. Refreshments provided, lunch not included",Leeds City Museum,May,"Thu 9 May, 10am-2pm",Adult,"£5
",booking required
Museum Events and Exhibitions,Adult,Writing the Outsider,"It s the people who don t fit in who change the world  (Flamingo Boy, Michael Morpurgo). Draw on the museum’s rich resource and experiment with Morpurguo s creative processes to spark stories and poetry written from the perspective of the outsider.
With writer, performer and workshop leader Becky Cherriman www.beckycherriman.com. Refreshments provided, lunch not included",Leeds City Museum,Mar,"Tue 12 March, 10.30am-3.30pm",Adult,£5,booking required
Museum Events and Exhibitions,Under 5s baby friendly curator talks,Rainforests Baby-friendly Curator Talk,"A talk by Clare Brown, Natural History Curator. Find out about the world’s rainforests – where are they, why are they and what likes living in them? This talk is designed for new mums and dads, who can listen to the talk and find out about the museum collections, while babies/toddlers, free movement and noise are welcome in the room. Cushions, toys and colouring in provided.",Leeds City Museum,Mar,"Tues 12 March , 10.30-11am",Under 5 s,Free,drop in
Museum Events and Exhibitions,Adult,Sociable History Club. Leeds Museums -  Pot Luck  with Nicola Pullan (Assistant Curator of Social History),"Come along for a chance to find out about some of the ceramics in the Social History collections, how they were used, who made them and what they might have meant to people.  Or something along those lines.  It s very definitely an exploration of the social history rather than a specialist ceramics talk, although I will delve a little into a couple of the local makers.",Leeds City Museum,Mar,"Fri 8th Mar 10.30-11.30am

",Adult,Free,drop in
Museum Events and Exhibitions,Adult,Leeds City Museum Community Choir ,"Come along to our community choir at Leeds City Museum. Led by singing teacher Emma Sargison. No audition is required and singers of all abilities are welcome, including absolute beginners.",Leeds City Museum,Mar,Fri 8th Mar 1:00-2.30pm ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,Sociable History Club. Discovering the Shadow King: The Life and Death of Henry VI.  ,"Only child \of a warrior father who defeated the French at Agincourt, Henry VI of the House of Lancaster inherited the crowns of England of France before his first birthday. And yet, by the time he was done to death in the Tower of London in 1471, France was lost, his throne had been seized by his rival, Edward IV of the House of York, and his kingdom had descended into the violent chaos of the Wars of the Roses.  Join historian Lauren Johnson as she tells the remarkable and sometimes shocking story of Henry s life and the tumultuous and bloody nature of the times in which he lived.   ",Leeds City Museum,Apr,Fri 12th April 10.30-11.30 ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,Leeds City Museum Community Choi,"Come along to our community choir at Leeds City Museum. Led by singing teacher Emma Sargison. No audition is required and singers of all abilities are welcome, including absolute beginners.

",Leeds City Museum,Apr,Fri 12th April 1:00-2.30pm ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,Leeds City Museum Community Choir,"Come along to our community choir at Leeds City Museum. Led by singing teacher Emma Sargison. No audition is required and singers of all abilities are welcome, including absolute beginners.

",Leeds City Museum,Jan,Fri 11th Jan 1-2.30pm,Adult,Free,drop in
Museum Events and Exhibitions,Under 5s,Edible Art,Under 5s and their carers join us for a creative session using food.  This month we take inspiration from Pancake Day.,Leeds City Museum,Mar,Tue 5th march 10.30- 12 noon,Under 5 s,Free,drop in
Museum Events and Exhibitions,Under 5s,Tiny Tigers,Free craft activities every Friday 10-11.45,Leeds City Museum,,Every Friday 10 - 11.45,Under 5 s,Free,drop in
Museum Events and Exhibitions,Family,Rory s Tiger Club,Join us on Saturday mornings for different craft activities,Leeds City Museum,,Every Saturday 11am - 12.15,Family,Free,drop in
Museum Events and Exhibitions,Adult,Sociable History Club. Talk: Leeds Museums archaeological collections,A history of the Leeds Museums  archaeological collections,Leeds City Museum,May,"Fri 10 May, 10.30-11.30",Adult,Free,drop in
Museum Events and Exhibitions,Under 5s,Michael Morpurgo: story time,Drop in to the Michael Morpurgo exhibition and enjoy story time with one of our Visitor Assistants. ,Leeds City Museum,10 Feb-16 Jun,"Every Tuesday, Thursday and Sunday outside school holidays. 11.30am-12pm",Under 5 s,Free,drop in
Museum Events and Exhibitions,under 5s,Edible Art,Under 5s and their carers join us for a creative morning with food. This month we take inspiration from Michael Morpurgo with edible unicorn horns. ,Leeds City Museum,Apr,"Thu 25 Apr, 10.30-12",Under 5 s,Free,drop in
Museum Events and Exhibitions,Adult,Sociable history Club.  Talk - The History of Meanwood Urban Farm.,"with Robert Paige, Education Officer at Meanwood Urban Farm.  ",Leeds City Museum,Jun,Fri 14th Jun 10.30-11.30 ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,Sociable History Club.  Talk: 300 Years of Migrating to Leeds.  ,"With Ruth Martin, Curator of Exhibitions and Adam Jaffer, Curator of World Cultures.  ",Leeds City Museum,Aug,Fri 9th Aug 10.30-11.30 ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,Talk – Repairing People:  Innovations and Possibilities in Medicine,With Alan Roberts.  Part of the Leeds philosophical and Literary Society Programme.,Leeds City Museum,May,Thu 16th May 2-3pm ,Adult,Free,drop in
Museum Events and Exhibitions,Adult,"Talk - From the Leeds Philosophical and Literary Society to the Leeds Sculpture Collections: Portraits, Patrons and Presidents ",With Dr Rebecca Wade. Part of the Leeds philosophical and Literary Society Programme. ,Leeds City Museum,April,Tue 9th April 2-3pm,Adult,Free,drop in
Museum Events and Exhibitions,General,Choir in the Café,The Leeds City Museum Community Choir is performing in our café.  Cake and singing - you know it makes sense!,Leeds City Museum,April,Fri 12th April 2 - 2.30pm,general,Free,drop in
